Community Area,Type of Service Request,Percentage of Total
2,Abandoned Vehicle Complaint,0.06505503993093029
2,Street Light Out,0.06114828404921217
2,Tree Debris,0.04072954888840924
2,Rodent Baiting/Rat Complaint,0.15689617958126484
2,Tree Trim,0.12037556658752428
5,Pothole in Street,0.13702175281527593
5,Garbage Cart Black Maintenance/Replacement,0.08071623417500175
5,Graffiti Removal,0.38494089669161363
5,Abandoned Vehicle Complaint,0.056060712037490384
5,Street Light Out,0.048541652094845074
5,Tree Debris,0.025809610407777857
5,Rodent Baiting/Rat Complaint,0.1495768343009023
5,Tree Trim,0.1173323074770931
4,Pothole in Street,0.15948723457585848
4,Garbage Cart Black Maintenance/Replacement,0.06438213914849429
4,Graffiti Removal,0.40752676621190964
4,Abandoned Vehicle Complaint,0.05661188097540015
4,Street Light Out,0.05102588892469653
4,Tree Debris,0.024528234325204998
4,Rodent Baiting/Rat Complaint,0.08547283990403552
4,Tree Trim,0.1509650159344004
7,Pothole in Street,0.2246964727544738
7,Garbage Cart Black Maintenance/Replacement,0.06838713389723229
7,Graffiti Removal,0.2892859197882502
7,Abandoned Vehicle Complaint,0.03412164106105069
7,Street Light Out,0.05788595431267622
7,Tree Debris,0.013176822601990908
7,Rodent Baiting/Rat Complaint,0.21652569192703838
7,Tree Trim,0.09592036365728752
6,Pothole in Street,0.18316930664474707
6,Garbage Cart Black Maintenance/Replacement,0.05898296047808411
6,Graffiti Removal,0.3402128274054162
6,Abandoned Vehicle Complaint,0.040255037433630285
6,Street Light Out,0.05476195765667696
6,Tree Debris,0.013773798680381224
6,Rodent Baiting/Rat Complaint,0.1790593828449559
6,Tree Trim,0.12978472885610823
9,Pothole in Street,0.31893404721343394
9,Garbage Cart Black Maintenance/Replacement,0.15831102458018984
9,Graffiti Removal,0.019347773180822585
9,Abandoned Vehicle Complaint,0.042711121927476274
9,Street Light Out,0.11146264297882696
9,Tree Debris,0.11657337551715746
9,Rodent Baiting/Rat Complaint,0.03747870528109029
9,Tree Trim,0.19518130932100267
8,Pothole in Street,0.338361496947713
8,Garbage Cart Black Maintenance/Replacement,0.025081836680527294
8,Graffiti Removal,0.37751039547022913
8,Abandoned Vehicle Complaint,0.02778023533575157
8,Street Light Out,0.08595063257542246
8,Tree Debris,0.004600548526939751
8,Rodent Baiting/Rat Complaint,0.09745200389277182
8,Tree Trim,0.04326285057064496
18,Pothole in Street,0.21824516946468167
18,Garbage Cart Black Maintenance/Replacement,0.13082039911308205
18,Graffiti Removal,0.1518319079294689
18,Abandoned Vehicle Complaint,0.0951325097666561
18,Street Light Out,0.09069791996621265
18,Tree Debris,0.056065885334178014
18,Rodent Baiting/Rat Complaint,0.1281807623271038
18,Tree Trim,0.12902544609861683
39,Pothole in Street,0.2521795989537925
39,Garbage Cart Black Maintenance/Replacement,0.14603312990409764
39,Graffiti Removal,0.07192676547515257
39,Abandoned Vehicle Complaint,0.10941586748038361
39,Street Light Out,0.13469921534437662
39,Tree Debris,0.06473408892763731
39,Rodent Baiting/Rat Complaint,0.07737576285963382
39,Tree Trim,0.1436355710549259
77,Pothole in Street,0.2436063590806981
77,Garbage Cart Black Maintenance/Replacement,0.05015552099533437
77,Graffiti Removal,0.30970278209780544
77,Abandoned Vehicle Complaint,0.07732849490236737
77,Street Light Out,0.056246759979263865
77,Tree Debris,0.03209780542595472
77,Rodent Baiting/Rat Complaint,0.08817176429929152
77,Tree Trim,0.1426905132192846
76,Pothole in Street,0.4497622820919176
76,Garbage Cart Black Maintenance/Replacement,0.10839936608557844
76,Graffiti Removal,0.06782884310618066
76,Abandoned Vehicle Complaint,0.0716323296354992
76,Street Light Out,0.14199683042789224
76,Tree Debris,0.042155309033280505
76,Rodent Baiting/Rat Complaint,0.02377179080824089
76,Tree Trim,0.09445324881141046
75,Pothole in Street,0.19435301378317218
75,Garbage Cart Black Maintenance/Replacement,0.1651923472536515
75,Graffiti Removal,0.01074881711581979
75,Abandoned Vehicle Complaint,0.02607488171158198
75,Street Light Out,0.1739868339847768
75,Tree Debris,0.2241308372762806
75,Rodent Baiting/Rat Complaint,0.03769800452581773
75,Tree Trim,0.1678152643488994
12,Pothole in Street,0.31700680272108844
12,Garbage Cart Black Maintenance/Replacement,0.1374797538062844
12,Graffiti Removal,0.05966958211856171
12,Abandoned Vehicle Complaint,0.047619047619047616
12,Street Light Out,0.09523809523809523
12,Tree Debris,0.10728862973760933
12,Rodent Baiting/Rat Complaint,0.04859086491739553
12,Tree Trim,0.18710722384191772
73,Pothole in Street,0.216657431482034
73,Garbage Cart Black Maintenance/Replacement,0.19884062912919312
73,Graffiti Removal,0.011636332637142493
73,Abandoned Vehicle Complaint,0.043519031584331444
73,Street Light Out,0.19943736413622606
73,Tree Debris,0.10915988235795576
73,Rodent Baiting/Rat Complaint,0.03964025403861728
73,Tree Trim,0.1811090746344998
72,Pothole in Street,0.24705658944170147
72,Garbage Cart Black Maintenance/Replacement,0.1428028864413217
72,Graffiti Removal,0.017612988985947587
72,Abandoned Vehicle Complaint,0.016616027345233573
72,Street Light Out,0.1449867071781238
72,Tree Debris,0.2350930497531333
72,Rodent Baiting/Rat Complaint,0.017565514622104064
72,Tree Trim,0.17826623623243448
71,Pothole in Street,0.21059282765592968
71,Garbage Cart Black Maintenance/Replacement,0.21533881883793424
71,Graffiti Removal,0.02446010839956191
71,Abandoned Vehicle Complaint,0.05038052177820214
71,Street Light Out,0.17254064983571568
71,Tree Debris,0.08840461681035693
71,Rodent Baiting/Rat Complaint,0.08680389789098261
71,Tree Trim,0.1514785587913168
70,Pothole in Street,0.1861988376026323
70,Garbage Cart Black Maintenance/Replacement,0.16085980503705527
70,Graffiti Removal,0.1558165995264307
70,Abandoned Vehicle Complaint,0.046834158491958544
70,Street Light Out,0.1478827762231311
70,Tree Debris,0.08638026999600233
70,Rodent Baiting/Rat Complaint,0.0733724899289646
70,Tree Trim,0.14265506319382515
15,Pothole in Street,0.1673045827619379
15,Garbage Cart Black Maintenance/Replacement,0.11146816218760873
15,Graffiti Removal,0.28714411445647503
15,Abandoned Vehicle Complaint,0.08066397854964488
15,Street Light Out,0.09900321345968847
15,Tree Debris,0.0495732443662116
15,Rodent Baiting/Rat Complaint,0.08389790613422846
15,Tree Trim,0.12094479808420493
14,Pothole in Street,0.15769267079963495
14,Garbage Cart Black Maintenance/Replacement,0.06485823079585865
14,Graffiti Removal,0.47660257418887875
14,Abandoned Vehicle Complaint,0.05557478679548101
14,Street Light Out,0.04144507033388929
14,Tree Debris,0.020580923309311765
14,Rodent Baiting/Rat Complaint,0.09343235673600403
14,Tree Trim,0.08981338704094156
11,Pothole in Street,0.2382106654914059
11,Garbage Cart Black Maintenance/Replacement,0.12411855442926399
11,Graffiti Removal,0.1514984574702512
11,Abandoned Vehicle Complaint,0.1002644336712208
11,Street Light Out,0.08516967827236668
11,Tree Debris,0.06104010577346849
11,Rodent Baiting/Rat Complaint,0.053217276333186424
11,Tree Trim,0.1864808285588365
10,Pothole in Street,0.290192470987829
10,Garbage Cart Black Maintenance/Replacement,0.1528446079818851
10,Graffiti Removal,0.04404896688366827
10,Abandoned Vehicle Complaint,0.050983583356920464
10,Street Light Out,0.10992782337956411
10,Tree Debris,0.11070619869799038
10,Rodent Baiting/Rat Complaint,0.05285876026040193
10,Tree Trim,0.18843758845174072
13,Pothole in Street,0.2468445317814224
13,Garbage Cart Black Maintenance/Replacement,0.09568437759806515
13,Graffiti Removal,0.2299145945128864
13,Abandoned Vehicle Complaint,0.07255687400801149
13,Street Light Out,0.07028947169526113
13,Tree Debris,0.04534804625500718
13,Rodent Baiting/Rat Complaint,0.10724812939309199
13,Tree Trim,0.13211397475625425
38,Pothole in Street,0.23268593083846517
38,Garbage Cart Black Maintenance/Replacement,0.12846991946944575
38,Graffiti Removal,0.07333017527238275
38,Abandoned Vehicle Complaint,0.07910942681193747
38,Street Light Out,0.0974893415442918
38,Tree Debris,0.08915206063477026
38,Rodent Baiting/Rat Complaint,0.10667929891046897
38,Tree Trim,0.1930838465182378
59,Pothole in Street,0.09862447882164985
59,Garbage Cart Black Maintenance/Replacement,0.04913688968553949
59,Graffiti Removal,0.6720570471106262
59,Abandoned Vehicle Complaint,0.04336983205392978
59,Street Light Out,0.03506994505708608
59,Tree Debris,0.01332657912169271
59,Rodent Baiting/Rat Complaint,0.03222538284690021
59,Tree Trim,0.056189845302575696
48,Pothole in Street,0.20263969586112904
48,Garbage Cart Black Maintenance/Replacement,0.15414963058604117
48,Graffiti Removal,0.05286564808837243
48,Abandoned Vehicle Complaint,0.04232121081701456
48,Street Light Out,0.21067355282978265
48,Tree Debris,0.09195896994476724
48,Rodent Baiting/Rat Complaint,0.032781005666738396
48,Tree Trim,0.21261028620615452
17,Pothole in Street,0.21164525350770544
17,Garbage Cart Black Maintenance/Replacement,0.1595964906515953
17,Graffiti Removal,0.10554332468044557
17,Abandoned Vehicle Complaint,0.09673709460125522
17,Street Light Out,0.11572963559294187
17,Tree Debris,0.053560279959254754
17,Rodent Baiting/Rat Complaint,0.06062497946308284
17,Tree Trim,0.19656294154371898
16,Pothole in Street,0.15641786258317966
16,Garbage Cart Black Maintenance/Replacement,0.07123386514872124
16,Graffiti Removal,0.4381664395093402
16,Abandoned Vehicle Complaint,0.0750020043293514
16,Street Light Out,0.05473823458670729
16,Tree Debris,0.026998316363344824
16,Rodent Baiting/Rat Complaint,0.09123707207568348
16,Tree Trim,0.08620620540367194
19,Pothole in Street,0.15444206362287785
19,Garbage Cart Black Maintenance/Replacement,0.09530245590901598
19,Graffiti Removal,0.48399538486896326
19,Abandoned Vehicle Complaint,0.05358496785890885
19,Street Light Out,0.05836492500412065
19,Tree Debris,0.02236690291742212
19,Rodent Baiting/Rat Complaint,0.05810120323059172
19,Tree Trim,0.07384209658809955
54,Pothole in Street,0.43084192439862545
